fault_id,trial,fault_name,target_service,injection_method,expected_root_cause,affected_components,severity,primary_symptoms,expected_metrics,expected_log_patterns,expected_recovery_action
F6,5,NetworkPolicy,redis-cart,"Apply NetworkPolicy blocking cartservice→redis-cart on port 6379",cartservice cannot connect to Redis backend; all cart state operations fail,"redis-cart,cartservice,frontend",high,"Cart operations return errors; cartservice logs connection refused to Redis; data loss for cart state","cilium_drop_count_total{direction=""INGRESS""} increasing for redis endpoints","DROPPED by policy; connection refused on port 6379; ECONNREFUSED redis","Add NetworkPolicy allowing cartservice→redis-cart ingress on port 6379"
F7,1,CPUThrottle,frontend,"Set frontend CPU limit to 10m (10 millicores)",frontend container severely CPU throttled; request processing extremely slow,"frontend",high,"Response times >10s; HTTP timeouts; loadgenerator reports high error rate; pod Running but unresponsive","container_cpu_cfs_throttled_periods_total / container_cpu_cfs_periods_total > 0.5; container_cpu_usage_seconds_total near limit","throttling; cpu cfs_period; high latency; request timeout; slow response","Increase CPU limit to 200m or remove CPU limit"
F7,2,CPUThrottle,checkoutservice,"Set checkoutservice CPU limit to 5m under checkout load",checkoutservice CPU throttled during checkout processing; gRPC deadlines exceeded,"checkoutservice,frontend",critical,"Checkout timeouts; gRPC DEADLINE_EXCEEDED; very slow order processing","container_cpu_cfs_throttled_periods_total / container_cpu_cfs_periods_total > 0.8","cpu throttled; deadline exceeded; cfs_throttled; slow processing","Increase CPU limit to 100m"
F7,3,CPUThrottle,productcatalogservice,"Set productcatalogservice CPU limit to 5m with concurrent requests",productcatalogservice CPU starved; product listing extremely slow,"productcatalogservice,frontend,recommendationservice",high,"Product pages take >15s to load; gRPC deadline exceeded from frontend; recommendations fail","container_cpu_cfs_throttled_periods_total increasing rapidly","cpu throttled; cfs_throttled_seconds; context deadline exceeded","Increase CPU limit to 100m"
F7,4,CPUThrottle,adservice,"Set adservice CPU limit to 5m (Java service with high CPU startup)",adservice Java process cannot complete startup within CPU budget; extremely slow ad serving,"adservice,frontend",low,"Ads section slow or empty; adservice container high CPU throttle ratio; startup takes minutes","container_cpu_cfs_throttled_periods_total / container_cpu_cfs_periods_total > 0.9","cpu throttled; JVM startup throttled; cfs_throttled; GC pause","Increase CPU limit to 300m; Java services need more CPU during startup"
F7,5,CPUThrottle,currencyservice,"Set currencyservice CPU limit to 5m under high request rate",currencyservice CPU throttled; currency conversion adds significant latency to all price displays,"currencyservice,frontend,checkoutservice",medium,"Price display delayed; currency conversion timeout; increased p99 latency across frontend","container_cpu_cfs_throttled_periods_total increasing; histogram_quantile(0.99, rate(grpc_server_handling_seconds_bucket[5m])) > 5","cpu throttled; cfs_throttled; slow currency conversion; high latency","Increase CPU limit to 50m"
F8,1,ServiceEndpoint,frontend,"Change frontend Service selector to non-matching label (app: frontend-v2)",frontend Service selector does not match any pod labels; Service has zero endpoints,"frontend",critical,"Frontend completely unreachable via Service; connection refused; loadgenerator 100% errors","kube_endpoint_address_available{endpoint=""frontend""}=0; kube_service_spec_selector_match=0","no endpoints available; connection refused; service has no endpoints; endpoints not found","Fix Service selector to match pod labels (app: frontend)"
F8,2,ServiceEndpoint,cartservice,"Change cartservice Service targetPort from 7070 to 9999",Service forwards to wrong port; cartservice pod healthy but traffic sent to closed port,"cartservice,frontend",high,"Cart operations fail with connection refused; pod Running and healthy but Service traffic fails","kube_endpoint_address_available{endpoint=""cartservice""}>0 but connection fails","connection refused on port 9999; dial tcp: connect refused; gRPC transport failure","Fix targetPort in cartservice Service to 7070"
F8,3,ServiceEndpoint,paymentservice,"Remove app label from paymentservice pods",paymentservice pods not selected by Service; endpoints list empty,"paymentservice,checkoutservice,frontend",critical,"Payment processing fails; checkout error; Service shows 0 endpoints","kube_endpoint_address_available{endpoint=""paymentservice""}=0","no endpoints; connection refused; endpoints not ready; FailedToUpdateEndpoint","Restore app label on paymentservice pods"
F8,4,ServiceEndpoint,shippingservice,"Add readinessProbe that always fails to shippingservice",Pod Running but never Ready; removed from Service endpoints; shipping cost unavailable,"shippingservice,checkoutservice,frontend",high,"Shipping cost calculation fails; pod Running but 0/1 Ready; endpoints removed","kube_pod_status_ready{condition=""false""}=1; kube_endpoint_address_not_ready>0","Readiness probe failed; removing endpoint; not ready; probe failed: HTTP 503","Fix readinessProbe configuration or underlying health issue"
F8,5,ServiceEndpoint,emailservice,"Change emailservice Service from ClusterIP to wrong type/port combination",emailservice Service misconfigured; traffic does not reach pods correctly,"emailservice,checkoutservice",medium,"Email sending fails; checkout succeeds but confirmation email not sent; Service port mismatch","kube_endpoint_address_available{endpoint=""emailservice""}>0 but port mismatch","connection refused; wrong port; service port mismatch; target port unreachable","Fix Service port configuration to match container port"
F9,1,SecretConfigMap,cartservice,"Delete redis-cart connection Secret referenced by cartservice",cartservice cannot find Secret for Redis connection string; pod fails to start,"cartservice,frontend",high,"cartservice pod stuck in CreateContainerConfigError; cart operations unavailable","kube_pod_container_status_waiting_reason{reason=""CreateContainerConfigError""}=1","Error: secret not found; CreateContainerConfigError; couldn't find key; MountVolume.SetUp failed","Recreate redis-cart connection Secret with correct data"
F9,2,SecretConfigMap,frontend,"Modify frontend ConfigMap with invalid environment variable (wrong port)",frontend starts but connects to wrong backend port; runtime errors on service calls,"frontend",high,"Frontend starts but all backend calls fail; connection refused to wrong ports; HTTP 500","container_status_running but http_request_duration_seconds p99 spike","connection refused; dial tcp: wrong port; ECONNREFUSED; invalid configuration","Fix ConfigMap with correct port values"
F9,3,SecretConfigMap,paymentservice,"Delete ConfigMap mounted as volume in paymentservice",paymentservice pod fails to start; volume mount fails for missing ConfigMap,"paymentservice,checkoutservice",critical,"Pod stuck in ContainerCreating; MountVolume.SetUp failed; payment flow broken","kube_pod_container_status_waiting_reason{reason=""CreateContainerConfigError""}=1; kube_pod_status_phase{phase=""Pending""}","MountVolume.SetUp failed; configmap not found; CreateContainerConfigError","Recreate the missing ConfigMap resource"
F9,4,SecretConfigMap,checkoutservice,"Set Secret with wrong key name (API_KEY vs PAYMENT_API_KEY)",checkoutservice starts but cannot authenticate to payment service; key lookup fails at runtime,"checkoutservice,paymentservice,frontend",high,"Checkout fails at payment step; authentication error; pod Running but functional failure","http_request_total{code=""500""} increasing for checkout","key not found in secret; authentication failed; invalid credentials; KeyError","Fix Secret key name to match application expectation (PAYMENT_API_KEY)"
F9,5,SecretConfigMap,emailservice,"Inject base64-corrupted data in emailservice Secret",emailservice reads corrupted Secret value; fails to parse SMTP credentials; crashes on first use,"emailservice,checkoutservice",medium,"Email sending fails; pod may CrashLoopBackOff after first email attempt; garbled credentials","kube_pod_container_status_restarts_total increasing after first request","invalid credentials; base64 decode error; SMTP auth failed; corrupted secret data","Fix Secret data with correctly base64-encoded values"
F10,1,ResourceQuota,boutique,"Apply ResourceQuota with pods=5 to boutique namespace",Only 5 pods can exist in boutique namespace; remaining deployments cannot create pods,"all boutique services beyond 5 pods",critical,"Multiple deployments stuck with 0 available replicas; FailedCreate events; forbidden quota exceeded","kube_resourcequota{resource=""pods""} usage >= hard limit; kube_deployment_status_replicas_unavailable > 0","exceeded quota; forbidden: pods; ResourceQuota; unable to create pod; quota exceeded","Increase pods quota or remove ResourceQuota"
F10,2,ResourceQuota,boutique,"Apply ResourceQuota with requests.cpu=100m to boutique namespace",Total CPU requests in namespace limited to 100m; new pods cannot be scheduled after quota filled,"services requiring >100m total CPU",high,"Pods stuck in Pending; FailedCreate events; CPU request exceeds quota","kube_resourcequota{resource=""requests.cpu""} usage >= hard limit","exceeded quota; requests.cpu; forbidden; insufficient cpu quota","Increase requests.cpu quota limit"
F10,3,ResourceQuota,boutique,"Apply ResourceQuota with requests.memory=128Mi to boutique namespace",Total memory requests limited to 128Mi; most services cannot start,"most boutique services",critical,"Multiple pods Pending; quota exceeded for memory; only smallest services can run","kube_resourcequota{resource=""requests.memory""} usage >= hard limit","exceeded quota; requests.memory; forbidden; insufficient memory quota","Increase requests.memory quota limit"
F10,4,ResourceQuota,boutique,"Apply ResourceQuota with services=3 to boutique namespace",Only 3 Services allowed in namespace; remaining Services cannot be created,"boutique services beyond 3",high,"Services fail to create; ClusterIP/LoadBalancer creation forbidden; inter-service communication broken","kube_resourcequota{resource=""services""} usage >= hard limit","exceeded quota; services; forbidden; unable to create service","Increase services quota or remove ResourceQuota"
F10,5,ResourceQuota,boutique,"Apply LimitRange with max memory=32Mi to boutique namespace",LimitRange caps all containers at 32Mi; services requiring more memory get OOMKilled or rejected,"all boutique services needing >32Mi",critical,"Pods either rejected (if request>32Mi) or OOMKilled after start; cascading failures","kube_resourcequota usage; kube_pod_container_status_last_terminated_reason{reason=""OOMKilled""}","exceeded quota; LimitRange max; memory limit enforced; OOMKilled; resource limit exceeded","Increase LimitRange max memory or remove LimitRange"
F11,1,NetworkDelay,worker01,"tc netem delay 500ms on worker01 (ens18)",500ms network delay on worker01 causes service timeouts and increased latency,"all services on worker01",high,"Increased response times; gRPC deadline exceeded; HTTP request timeouts; retries increasing","histogram_quantile(0.99, rate(grpc_server_handling_seconds_bucket[5m])) > 1; rate(grpc_server_handled_total{grpc_code=""DeadlineExceeded""}[5m]) > 0","context deadline exceeded; DeadlineExceeded; connection timed out; slow response","Remove tc netem: tc qdisc del dev ens18 root"
F11,2,NetworkDelay,worker02,"tc netem delay 1000ms 200ms jitter on worker02 (ens18)",1s network delay with 200ms jitter on worker02 causes intermittent timeouts,"all services on worker02",high,"Intermittent timeouts; fluctuating latency; gRPC deadline exceeded; connection timeouts","histogram_quantile(0.99, rate(grpc_server_handling_seconds_bucket[5m])) > 2","context deadline exceeded; DeadlineExceeded; i/o timeout; connection timed out","Remove tc netem: tc qdisc del dev ens18 root"
F11,3,NetworkDelay,worker01,"tc netem delay 2000ms on worker01 (ens18)",Severe 2s network delay on worker01 causes widespread service failures,"all services on worker01",critical,"Service unavailability; cascading timeouts; health check failures; readiness probe failures","histogram_quantile(0.99, rate(grpc_server_handling_seconds_bucket[5m])) > 3","context deadline exceeded; upstream request timeout; connection timed out","Remove tc netem: tc qdisc del dev ens18 root"
F11,4,NetworkDelay,worker03,"tc netem delay 300ms 100ms normal distribution on worker03 (ens18)",300ms delay with normal distribution jitter on worker03,"all services on worker03",medium,"Moderately increased latency; occasional timeouts; degraded performance","histogram_quantile(0.95, rate(grpc_server_handling_seconds_bucket[5m])) > 0.5","slow response; increased latency; context deadline exceeded","Remove tc netem: tc qdisc del dev ens18 root"
F11,5,NetworkDelay,worker02,"tc netem delay 5000ms on worker02 (ens18)",Near-timeout 5s delay on worker02 causes severe disruption,"all services on worker02",critical,"Complete service timeout; node may appear unhealthy; kubelet heartbeat delayed","histogram_quantile(0.99, rate(grpc_server_handling_seconds_bucket[5m])) > 5","context deadline exceeded; connection timed out; node not responding","Remove tc netem: tc qdisc del dev ens18 root"
F12,1,NetworkLoss,worker01,"tc netem loss 10% on worker01 (ens18)",10% packet loss on worker01 causes intermittent connection failures,"all services on worker01",medium,"Intermittent request failures; increased retries; some gRPC errors","rate(grpc_server_handled_total{grpc_code!=""OK""}[5m]) > 0","connection reset; broken pipe; EOF; transport closing","Remove tc netem: tc qdisc del dev ens18 root"
F12,2,NetworkLoss,worker02,"tc netem loss 30% on worker02 (ens18)",30% packet loss on worker02 causes significant failures,"all services on worker02",high,"Frequent request failures; high error rates; retransmissions; TCP resets","rate(grpc_server_handled_total{grpc_code!=""OK""}[5m]) > 0.3","connection reset by peer; broken pipe; EOF; i/o timeout","Remove tc netem: tc qdisc del dev ens18 root"
F12,3,NetworkLoss,worker03,"tc netem loss 50% on worker03 (ens18)",Severe 50% packet loss on worker03,"all services on worker03",critical,"Majority of requests failing; services effectively unavailable; health checks failing","rate(grpc_server_handled_total{grpc_code!=""OK""}[5m]) > 0.5","connection reset; transport is closing; EOF; context canceled","Remove tc netem: tc qdisc del dev ens18 root"
F12,4,NetworkLoss,worker01,"tc netem loss 5% 25% correlated on worker01 (ens18)",5% correlated packet loss on worker01 causes burst failures,"all services on worker01",medium,"Burst connection failures; intermittent service degradation; TCP retransmissions","rate(grpc_server_handled_total{grpc_code!=""OK""}[5m]) > 0.05","connection reset; retransmission; broken pipe","Remove tc netem: tc qdisc del dev ens18 root"
F12,5,NetworkLoss,worker02,"tc netem loss 80% on worker02 (ens18)",Extreme 80% packet loss on worker02; near-total communication failure,"all services on worker02",critical,"Services on worker02 nearly unreachable; massive error rates; possible node NotReady","rate(grpc_server_handled_total{grpc_code!=""OK""}[5m]) > 0.8","connection refused; connection reset; EOF; context deadline exceeded; node not ready","Remove tc netem: tc qdisc del dev ens18 root"
